AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
STAR AIR,2020,MAY,22,26,14,403,256,683,37.48169839,0,0,0,23,0,0,23,301,7.641196013
STAR AIR,2020,JUNE,217,248,129,5952,3645.7,6473.2,56.3199036,0,0,0,328,0,0,328,2815,11.65186501
STAR AIR,2020,JULY,216,247,129.875,5651,3568.897,6493.75,54.95895284,0,0,0,321.201,0,0,321.201,2823.59,11.37562465
STAR AIR,2020,AUG,230,274,145.087,7339,4761.059,7254.35,65.63040107,0,0,0,394.698,0,0,394.698,2899.974,13.61039789
STAR AIR,2020,SEP,240,298,160.567,8463,5923.93,8028.35,73.78764005,0,0,0,454.38,0,0,454.38,3030.786,14.99215055
STAR AIR,2020,OCT,246,309,168.706,8804,6226.743,8435.3,73.81768283,0,0,0,472.788,0,0,472.788,3103.914,15.23199419
STAR AIR,2020,NOV,294,397,213.787,10653,8080.772,10689.35,75.59647687,0,0,0,727.269,0,0,727.269,4703.314,15.46290552
STAR AIR,2020,DEC,341,468,245.065,12824,9357.493,12253.25,76.36743721,0,0,0,842.174,0,0,842.174,5525.432,15.24177657
STAR AIR,2019,JAN,24,25,10.938,637,1780.278,3281.4,54.25361126,0,0,0,522.563,0,0,522.563,3281.4,15.92500152
STAR AIR,2019,FEB,100,104,45.496,2603,1194.397,2274.8,52.50558291,0,0,0,107.496,0,0,107.496,1000.9012,10.73992118
STAR AIR,2019,MAR,154,161.2,70.486,4145,1906.451,3479.9,54.78464898,0,0,0,171.581,0,0,171.581,1531.156,11.20597771
STAR AIR,2019,APR,148,158,67.775,3956,1790.961,3344.35,53.55184116,0,0,0,161.19,0,0,161.19,1471.51,10.954054
STAR AIR,2019,MAY,184,201,96.476,5612,2998.187,4823.8,62.15404868,0,0,0,269.837,0,0,269.837,2412.41,11.18537065
STAR AIR,2019,JUNE,202,245,113.912,5473,3179.253,5695.6,55.81945712,0,0,0,286.133,0,0,286.133,2506.064,11.41762541
STAR AIR,2019,JULY,194,210,110.745,4875,2818.623,5537.25,50.90293918,0,0,0,253.676,0,0,253.676,2436.39,10.41196196
STAR AIR,2019,AUG,168,201,95.738,4232,2540.052,4786.9,53.06256659,0,0,0,228.605,0,0,228.605,2106.236,10.853722
STAR AIR,2019,SEP,183,219,100.361,4653,2560.528,5018.05,51.02635486,0,0,0,230.448,0,0,230.448,2207.942,10.43723069
STAR AIR,2019,OCT,209,208,113.481,6232,3376.393,5674.05,59.50587323,0,0,0,303.875,0,0,303.875,2496.582,12.17164107
STAR AIR,2019,NOV,235,208,159.147,8562,6001.917,7957.35,75.42607778,0,0,0,534.155,0,0,534.155,3501.234,15.25619253
STAR AIR,2019,DEC,263,320,173.599,10705,7136.5,8679.95,82.21821554,0,0,0,642.285,0,0,642.285,3819.178,16.81736227
PAWAN HANS,2021,JAN,54,36,4.788,182,14.895,52.668,28.2809296,0,0,0,1032,0,0,1032,3032,34.03693931
PAWAN HANS,2021,FEB,84,56.16,7.466,260,22.69,82.126,27.6282785,0,0,0,1644,0,0,1644,4228.48,38.87921901
PAWAN HANS,2021,MAR,80,54.33,7.304,251,21.339,80.344,26.55954396,0,0,0,1651,0,0,1651,3445,47.9245283
PAWAN HANS,2021,APR,60,40,5.298,116,10.13,58.27,17.38458898,0,0,0,766,0,0,766,1917,39.95826813
PAWAN HANS,2021,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAWAN HANS,2021,JUNE,60,40.16,5.574,121,10.7,58.2,18.38487973,0,0,0,748,0,0,748,1409,53.08729595
PAWAN HANS,2021,JULY,68,44,5.68,171,13.7,62.4,21.95512821,0,0,0,1052,0,0,1052,2133,49.32020628
PAWAN HANS,2021,AUG,42,26.5,3.342,102,0.789,36.7,2.14986376,0,0,0,559,0,0,559,1396,40.04297994
PAWAN HANS,2021,SEP,78,52.33,6.952,198,17.96,76.472,23.48572026,0,0,0,1220,0,0,1220,4106,29.71261568
PAWAN HANS,2021,OCT,98,66,8.714,320,27.9,95.9,29.09280501,0,0,0,1993,0,0,1993,3833,51.99582572
PAWAN HANS,2021,NOV,98,65,8.664,428,33.77,95.3,35.43546695,0,0,0,2440,0,0,2440,4276,57.0626754
PAWAN HANS,2021,DEC,28,19.33,3.498,74,6.63,28.9,22.94117647,0,0,0,1189,0,0,1189,1476,80.55555556
PAWAN HANS,2020,JAN,74,49,6.496,278,19.137,71.5,26.76503497,0,0,0,1482,0,0,1482,4557,32.52139566
PAWAN HANS,2020,FEB,94,63.33,8.56,324,24,92.7,25.88996764,0,0,0,1952,0,0,1952,5285,36.93472091
PAWAN HANS,2020,MAR,60,38.33,5.302,183,13.6,58.32,23.31961591,0,0,0,886,0,0,886,2767,32.02023853
PAWAN HANS,2020,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAWAN HANS,2020,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
